ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2025,      450704001,1,2,21,6,2025,4
2025,      450704201,1,2,77,11,2022, 
2025,      450903401,1,1,82,6,2023, 
2025,      451105501,1,1,86,4,2024, 
2025,      451202701,1,1,77,4,2021, 
2025,      451211601,1,1,60,12,2023, 
2025,      451301801,1,1,74,1,2022, 
2025,      451401701,1,1,82,4,2020, 
2025,      451501901,1,2,91,4,2025, 
2025,      451709201,1,1,78,1,2024, 
2025,      451801001,1,2,87,7,2023, 
2025,      451801001,2,1,73,11,2023, 
2025,      451907101,1,1,45,10,2023, 
2025,      451921101,1,1,81,4,2021, 
2025,      452104801,1,2,67,6,2025, 
2025,      452305401,1,1,63,9,2023, 
2025,      452407301,1,1,80,10,2023, 
2025,      452407901,1,1,45,4,2020, 
2025,      452407901,2,2,80,6,2021, 
2025,      452501701,1,2,9,6,2025, 
2025,      452505801,1,1,73,1,2020, 
2025,      452506101,1,2,53,10,2020, 
2025,      452513401,1,2,67,4,2022, 
2025,      452513601,1,2,67,4,2022, 
2025,      452702401,1,1,40,8,2023, 
2025,      452800101,1,1,94,7,2024, 
2025,      452907801,1,2,59,7,2023, 
2025,      453002201,1,2,80,12,2023, 
2025,      453200801,1,2,82,2,2024, 
2025,      453207801,1,1,82,1,2020, 
2025,      453304201,1,2,44,7,2022,2
2025,      453403501,1,1,87,6,2020, 
2025,      453407001,1,1,50,6,2024, 
2025,      453604701,1,2,62,3,2021, 
2025,      453616001,1,1,84,5,2021, 
2025,      453703001,1,2,93,3,2022, 
2025,      453708901,1,2,63,5,2023, 
2025,      453710401,1,2,68,6,2023, 
2025,      453806601,1,2,64,3,2021, 
2025,      453809301,1,2,31,11,2024,4
2025,      454005101,1,1,91,7,2023, 
2025,      454016201,1,1,69,6,2020, 
2025,      454201901,1,1,83,8,2024, 
2025,      454212301,1,1,33,1,2021, 
2025,      454402601,1,2,58,4,2020, 
2025,      454609801,1,1,48,8,2020, 
2025,      454609801,2,2,42,3,2021,4
2025,      455404601,1,1,90,3,2022, 
2025,      455415601,1,2,72,9,2022, 
2025,      455502801,1,1,66,6,2024, 
2025,      455505201,1,1,84,4,2024, 
2025,      455702601,1,1,52,8,2024, 
2025,      455901701,1,1,82,2,2025, 
2025,      456100301,1,1,74,9,2022, 
2025,      456105901,1,1,86,3,2023, 
2025,      456108501,1,2,79,8,2023, 
2025,      456200701,1,1,75,4,2020, 
2025,      456203201,1,2,62,3,2024, 
2025,      456414301,1,1,67,9,2024, 
2025,      456415201,1,1,84,2,2020, 
2025,      456416901,1,2,62,8,2023, 
2025,      456901501,1,1,22,6,2020, 
2025,      457104601,1,1,44,1,2023, 
2025,      457110801,1,1,63,1,2020, 
2025,      457111201,1,1,15,2,2025, 
2025,      457111601,1,2,87,1,2024, 
2025,      457610401,1,2,93,2,2024, 
2025,      457913501,1,1,92,3,2022, 
2025,      457918501,1,1,57,2,2023, 
2025,      458001101,1,1,62,6,2020, 
2025,      458209101,1,2,81,5,2025, 
2025,      458219201,1,1,83,12,2021, 
2025,      458401101,1,1,22,5,2023, 
2025,      458504401,1,2,83,10,2020, 
2025,      458604501,1,1,42,10,2023, 
2025,      458820401,1,1,15,9,2023, 
2025,      458820401,2,2,23,7,2024,3
2025,      458822401,1,1,61,11,2024, 
2025,      458913301,1,1,80,6,2020, 
2025,      459012901,1,2,100,3,2022, 
2025,      459805301,1,1,67,5,2023, 
2025,      459809301,1,1,33,5,2021, 
2025,      460103301,1,1,72,12,2021, 
2025,      460703201,1,1,45,10,2020, 
2025,      460711501,1,2,85,9,2022, 
2025,      460713201,1,1,89,12,2024, 
2025,      460903301,1,1,83,5,2022, 
2025,      461210101,1,2,60,3,2025, 
2025,      461210201,1,2,39,10,2020,2
2025,      461302401,1,1,53,9,2020, 
2025,      461305101,1,1,83,1,2022, 
2025,      461405901,1,1,29,1,2024, 
2025,      461406301,1,1,58,9,2021, 
2025,      461408301,1,1,54,6,2021, 
2025,      462013401,1,1,87,1,2021, 
2025,      462208301,1,1,92,9,2023, 
2025,      462302101,1,1,56,3,2021, 
2025,      462302101,2,2,62,4,2021, 
2025,      462314601,1,1,94,3,2023, 
2025,      462607101,1,2,64,3,2021, 
2025,      462607901,1,1,68,10,2020, 
2025,      462804701,1,2,69,5,2021, 
2025,      462903901,1,1,37,7,2020, 
2025,      462903901,2,2,91,12,2022, 
2025,      462911201,1,2,61,4,2020, 
2025,      463007701,1,2,70,2,2021, 
2025,      463011001,1,2,64,6,2020, 
2025,      463015801,1,1,75,10,2020, 
2025,      463015801,2,2,63,10,2020, 
2025,      463209301,1,2,87,12,2023, 
2025,      463212801,1,1,65,2,2021, 
2025,      463405201,1,2,78,5,2025, 
2025,      463603501,1,2,75,2,2023, 
2025,      463605901,1,1,85,11,2020, 
2025,      463712601,1,1,86,12,2024, 
2025,      464010801,1,1,55,5,2022, 
2025,      464501001,1,1,63,9,2020, 
2025,      464803801,1,2,64,4,2024, 
2025,      464913601,1,2,80,10,2020, 
2025,      464916901,1,1,40,6,2022, 
2025,      465113301,1,2,86,4,2023, 
2025,      465115601,1,2,85,1,2025, 
2025,      465206401,1,2,83,11,2023, 
2025,      465709601,1,2,0,9,2023, 
2025,      465713201,1,2,53,12,2020, 
2025,      465810101,1,2,80,1,2022, 
2025,      466001401,1,1,78,4,2021, 
2025,      466006601,1,2,60,4,2021, 
2025,      466217701,1,1,0,10,2022, 
2025,      466217801,1,2,0,6,2021, 
2025,      466323801,1,1,69,12,2022, 
2025,      466324201,1,2,80,4,2021, 
2025,      466400701,1,1,50,5,2020, 
2025,      466501201,1,2,63,5,2023, 
2025,      466504401,1,1,52,6,2024, 
2025,      466601201,1,2,54,5,2023, 
2025,      466701501,1,1,55,9,2023, 
2025,      467013201,1,1,79,7,2021, 
2025,      467201501,1,2,79,11,2021, 
2025,      467208601,1,2,74,2,2025, 
2025,      467303801,1,2,96,7,2020, 
2025,      467309501,1,1,87,4,2021, 
2025,      467409301,1,2,83,11,2024, 
2025,      467411301,1,1,51,6,2020, 
2025,      467602101,1,1,78,3,2021, 
2025,      468002801,1,2,76,1,2025, 
2025,      468512701,1,1,85,7,2023, 
2025,      468518101,1,1,42,2,2024, 
