ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,QH91,QH93,QH95,QH96,QH96A,QH96M,QH96AC,QH97D,QH97M,QH97A,QH99,QH101,QH103,QH106,QHVIOLEN,QH100B
2025,      435412001,4354,120,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      435412101,4354,121,1,2,2,1,1,13,4,2, , , , ,1,2,2,1,1
2025,      435412201,4354,122,1, ,2,2, , , , , , , , ,1,2,2,2,1
2025,      435412301,4354,123,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      435412401,4354,124,1,2,2,1,2,1,2,2, , , , ,1,2,2,2,2
2025,      435506501,4355,65,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      435506601,4355,66,1,2,2,2, , , , , , , ,1,2,2, ,0, 
2025,      435506701,4355,67,1, ,2,2, , , , , , , , ,2,2,2,1,1
2025,      435506801,4355,68,1,2,2,1,2,0,6,2, , , , ,1,2,2,2,1
2025,      435506901,4355,69,1,2,2,1,2,0,4,2, , , , ,1,2,2,2,1
2025,      435512301,4355,123,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      435512401,4355,124,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      435512501,4355,125,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      435512701,4355,127,1,2,2,2, , , , , , , , ,1,2,2,1,2
2025,      435512801,4355,128,1, ,2,2, , , , , , , , ,1,2,2,2,1
2025,      435516001,4355,160,1,2,2,1,2,9,0,2, , , ,1,2,2,2,2,2
2025,      435516101,4355,161,1,2,2,2, , , , , , , , ,1,2,2,2,1
2025,      435516801,4355,168,1,2,2,2, , , , , , , , ,1,2,2,2,2
2025,      435516901,4355,169,1,2,2,2, , , , , , , , ,1,2,2,2,1
2025,      435517001,4355,170,1,2,2,2, , , , , , , , ,1,2,2,7,1
2025,      435603501,4356,35,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      435603601,4356,36,1,2,2,1,2,2,3,2, , , , ,1,2,2,7,1
2025,      435603701,4356,37,1,2,2,1,1,1,1,2, , , , ,1,2,2,1,2
2025,      435603801,4356,38,1, ,2,2, , , , , , , , ,1,2, ,2,2
2025,      435603901,4356,39,1, ,2,1,2,8,0,2, , , , ,1,2, ,2,2
2025,      435608701,4356,87,1,2,2,2, , , , , , , ,1,2,2,2,4,1
2025,      435608801,4356,88,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      435609001,4356,90,1,2,2,2, , , , , , , , ,2,2, ,3,2
2025,      435609101,4356,91,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      435615701,4356,157,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      435615901,4356,159,1,2,2,1,1,1,10,2, , , , ,2,2, ,2,2
2025,      435616001,4356,160,1, ,2,1,1,4,2,2, , , , ,1,2, ,1,2
2025,      435616101,4356,161,1,2,2,2, , , , , , , , ,2,2, ,1,2
2025,      435616301,4356,163,1,2,2,1,2,1,1,2, , , , ,1,2,2,2,1
2025,      435702501,4357,25,1,2,2,2, , , , , , , ,1,2,2, ,3,2
2025,      435702601,4357,26,1,2,2,2, , , , , , , , ,2,2,2,4,2
2025,      435702801,4357,28,1,2,2,2, , , , , , , , ,2,2, ,3,2
2025,      435703001,4357,30,1,2,2,2, , , , , , , , ,1,2,2,2,2
2025,      435703101,4357,31,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      435707201,4357,72,1, ,2,2, , , , , , , , ,1,2,2,2,2
2025,      435707301,4357,73,1, ,2,2, , , , , , , , ,1,2, ,2,2
2025,      435707401,4357,74,1, ,2,1,1,3,6,2, , , , ,1,2,2,1,2
