ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100C1_A,PS100C1_M,PS100C_1S,PS8
2025,      472205901,3,4722,59,1,0,10,2,1
2025,      472302101,3,4723,21,1,0,6,2,1
2025,      472303501,3,4723,35,1,1,0,2,1
2025,      472505701,4,4725,57,1,0,11,2,1
2025,      472600401,3,4726,4,1,1,0,2,1
2025,      472600501,5,4726,5,1,1,4,2,1
2025,      472604101,2,4726,41,1,0,9,2,1
2025,      472604201,4,4726,42,1,2,4,2,1
2025,      472604301,2,4726,43,1,0,3,2,1
2025,      472611901,6,4726,119,1,0,9,2,1
2025,      472612201,7,4726,122,1,0,2,2,1
2025,      472703301,5,4727,33,1,1,2,2,1
2025,      472708601,4,4727,86,1,0,6,2,1
2025,      473609801,4,4736,98,1,0,7,2,1
2025,      473909701,4,4739,97,1,0,4,2,1
2025,      474108701,10,4741,87,1,1,5,2,1
2025,      475102101,5,4751,21,1,0,1,2,1
2025,      475403201,5,4754,32,1,1,0,2,1
2025,      475404901,2,4754,49,1,1,0,2,1
2025,      475504401,3,4755,44,1,1,2,2,1
2025,      475512001,5,4755,120,1,1,4,2,1
2025,      475801101,5,4758,11,1,1,4,2,1
2025,      475811601,3,4758,116,1,0,2,2,1
2025,      475811901,4,4758,119,1,0,10,2,1
2025,      475903301,5,4759,33,1,0,5,2,1
2025,      475910001,4,4759,100,1,0,2,2,1
2025,      476006001,4,4760,60,1,2,0,2,1
2025,      476008101,7,4760,81,1,1,6,2,1
2025,      476307501,3,4763,75,1,0,6,2,1
2025,      476403301,5,4764,33,1,1,3,2,1
2025,      476410001,3,4764,100,1,0,1,2,1
2025,      476500501,6,4765,5,1,0,2,2,1
2025,      476505401,5,4765,54,1,2,1,2,1
2025,      476505901,4,4765,59,1,1,2,2,1
2025,      477210502,8,4772,105,2,0,2,2,1
2025,      478314001,5,4783,140,1,0,5,2,1
2025,      478319301,4,4783,193,1,0,6,2,1
2025,      478502101,9,4785,21,1,1,5,2,1
2025,      478502201,8,4785,22,1,0,5,2,1
2025,      478502601,3,4785,26,1,2,5,2,1
2025,      478503201,3,4785,32,1,0,5,2,1
2025,      478506301,4,4785,63,1,0,7,2,1
2025,      478506501,3,4785,65,1,1,0,2,1
2025,      478515401,3,4785,154,1,0,2,2,1
2025,      478515601,6,4785,156,1,1,6,1,1
2025,      478515601,7,4785,156,1,0,8,2,2
2025,      478603201,3,4786,32,1,0,3,2,1
2025,      478607701,3,4786,77,1,0,7,2,1
2025,      479203801,6,4792,38,1,0,8,2,1
2025,      479300201,4,4793,2,1,1,0,2,1
2025,      479309101,3,4793,91,1,0,5,2,1
2025,      479604601,3,4796,46,1,1,0,2,1
2025,      479606201,4,4796,62,1,1,0,2,1
2025,      479610001,4,4796,100,1,0,6,2,1
2025,      479610301,3,4796,103,1,1,2,2,1
2025,      479701701,3,4797,17,1,1,5,2,1
2025,      479708701,5,4797,87,1,0,2,2,1
2025,      480005201,3,4800,52,1,1,4,2,1
2025,      480203701,3,4802,37,1,1,5,2,1
2025,      480204101,4,4802,41,1,0,10,2,1
2025,      480500201,4,4805,2,1,0,3,2,1
2025,      480904401,4,4809,44,1,2,7,2,1
2025,      481001601,6,4810,16,1,0,1,2,1
2025,      481001901,3,4810,19,1,2,3,2,1
2025,      481008401,5,4810,84,1,0,5,2,1
2025,      481009801,4,4810,98,1,1,5,2,1
2025,      481901801,4,4819,18,1,0,5,2,1
2025,      481916901,4,4819,169,1,1,0,2,1
2025,      481917101,6,4819,171,1,0,6,2,1
2025,      481917401,4,4819,174,1,0,6,2,1
2025,      482001201,4,4820,12,1,1,3,2,1
2025,      482003601,6,4820,36,1,2,2,1,1
2025,      482003601,7,4820,36,1,0,6,2,2
2025,      482003701,4,4820,37,1,0,10,2,1
2025,      482108601,5,4821,86,1,1,4,2,1
2025,      482108701,4,4821,87,1,2,3,2,1
2025,      482109001,5,4821,90,1,2,9,2,1
2025,      482115001,4,4821,150,1,0,7,2,1
2025,      482117401,3,4821,174,1,0,1,2,1
2025,      482118001,8,4821,180,1,2,11,1,1
2025,      482118001,9,4821,180,1,1,9,2,2
2025,      482204901,4,4822,49,1,1,2,2,1
2025,      482205701,5,4822,57,1,0,1,2,1
2025,      482209601,3,4822,96,1,0,4,2,1
2025,      482210001,6,4822,100,1,0,2,2,1
2025,      482210301,3,4822,103,1,2,4,2,1
2025,      482210701,4,4822,107,1,0,9,2,1
2025,      482300501,3,4823,5,1,1,0,2,1
2025,      482303601,3,4823,36,1,1,3,1,1
2025,      482303601,4,4823,36,1,1,3,2,2
2025,      482602101,5,4826,21,1,1,0,2,1
2025,      482609501,3,4826,95,1,1,0,2,1
2025,      482813101,5,4828,131,1,1,6,2,1
2025,      484505301,4,4845,53,1,1,1,2,1
2025,      484704001,4,4847,40,1,1,0,2,1
2025,      486119301,3,4861,193,1,0,1,2,1
2025,      486401101,4,4864,11,1,0,5,2,1
2025,      486502201,4,4865,22,1,0,3,2,1
2025,      486504501,5,4865,45,1,0,3,2,1
2025,      486510501,2,4865,105,1,0,2,2,1
2025,      486510601,3,4865,106,1,0,2,2,1
2025,      487507401,5,4875,74,1,1,0,2,1
2025,      487805201,2,4878,52,1,0,9,2,1
2025,      487900901,3,4879,9,1,0,3,2,1
