ID1,QHCLUSTER,QHNUMBER,QHHOME,PS100_1A,PS100_1M,PS100_1S,PS3,HVIDX,HHID
2023,1779,21,1,3,0,2,1,1,      177902101
2023,1779,52,1,3,0,2,1,1,      177905201
2023,1780,1,1,4,0,2,1,1,      178000101
2023,1780,21,1,8,2,2,1,1,      178002101
2023,1780,41,1,8,0,2,1,1,      178004101
2023,1784,15,1,7,2,2,1,1,      178401501
2023,1784,34,1,4,0,2,1,2,      178403401
2023,1785,13,1,0,6,1,1,1,      178501301
2023,1785,13,1,0,3,2,2,2,      178501301
2023,1785,14,1,5,0,1,1,1,      178501401
2023,1785,14,1,5,0,2,2,2,      178501401
2023,1844,9,1,1,11,2,1,1,      184400901
2023,1845,101,1,8,8,2,1,1,      184510101
2023,1857,9,1,2,6,2,1,6,      185700901
2023,1857,100,1,7,6,2,1,5,      185710001
2023,1860,14,1,0,2,2,1,1,      186001401
2023,1874,36,1,8,0,2,1,3,      187403601
2023,1890,13,1,0,8,2,1,1,      189001301
2023,1890,59,1,1,3,2,1,4,      189005901
2023,1897,19,1,4,0,2,1,1,      189701901
2023,1897,65,1,8,8,2,1,2,      189706501
2023,1897,80,1,3,8,2,1,4,      189708001
2023,1899,30,1,0,6,2,1,1,      189903001
2023,1899,55,1,3,7,2,1,1,      189905501
2023,1899,64,1,3,6,2,1,1,      189906401
2023,1899,84,1,0,6,2,1,1,      189908401
2023,1899,85,1,3,7,2,1,1,      189908501
2023,1902,21,1,0,8,1,1,1,      190202101
2023,1902,21,1,0,8,2,2,2,      190202101
2023,1902,36,1,0,6,2,1,1,      190203601
2023,1902,81,1,0,2,2,1,1,      190208101
2023,1902,82,1,3,10,1,1,1,      190208201
2023,1902,82,1,3,10,2,2,2,      190208201
2023,1904,29,1,6,10,2,1,5,      190402901
2023,1904,67,1,8,10,2,1,2,      190406701
2023,1905,3,1,98,8,1,1,1,      190500301
2023,1905,3,1,98,8,2,2,2,      190500301
2023,1905,92,1,3,8,2,1,1,      190509201
2023,1908,8,1,0,9,2,1,1,      190800801
2023,1908,15,1,6,0,2,1,1,      190801501
2023,1908,24,1,0,3,2,1,1,      190802401
2023,1908,25,1,8,10,2,1,1,      190802501
2023,1908,40,1,8,10,2,1,1,      190804001
2023,1914,41,1,98,98,2,1,1,      191404101
2023,1914,42,1,3,9,1,1,1,      191404201
2023,1914,42,1,3,9,2,2,2,      191404201
2023,1930,67,1,8,1,2,1,4,      193006701
2023,1931,89,1,5,0,1,1,1,      193108901
2023,1931,89,1,3,0,2,2,2,      193108901
2023,1938,82,1,4,11,1,1,1,      193808201
2023,1938,82,1,4,11,2,2,2,      193808201
2023,1943,4,1,3,0,2,1,1,      194300401
2023,1943,74,1,2,6,2,1,1,      194307401
2023,1943,90,1,0,2,2,1,1,      194309001
2023,1943,91,1,5,3,1,1,1,      194309101
2023,1943,91,1,5,3,2,2,2,      194309101
2023,1947,48,1,5,0,2,1,7,      194704801
2023,1947,52,1,7,0,2,1,1,      194705201
2023,1947,66,1,4,3,2,1,6,      194706601
2023,1950,69,1,6,0,2,1,1,      195006901
2023,1950,120,1,8,11,1,1,1,      195012001
2023,1950,120,1,8,10,2,2,2,      195012001
2023,1959,66,1,8,0,2,1,1,      195906601
2023,1959,92,1,7,0,2,1,1,      195909201
2023,1959,124,1,2,0,2,1,7,      195912401
2023,1959,135,1,0,6,2,1,2,      195913501
2023,1964,13,1,3,0,2,1,1,      196401301
2023,1964,25,1,4,5,2,1,3,      196402501
2023,1964,27,1,1,5,2,1,5,      196402701
2023,1964,47,1,0,6,2,1,1,      196404701
2023,1964,48,1,4,0,1,1,1,      196404801
2023,1964,48,1,4,0,2,2,2,      196404801
2023,1964,50,1,6,0,2,1,1,      196405001
2023,1965,1,1,8,4,1,1,1,      196500101
2023,1965,1,1,8,4,2,2,2,      196500101
2023,1965,4,1,1,0,2,1,2,      196500401
2023,1965,20,1,8,0,2,1,1,      196502001
2023,1965,28,1,3,4,1,1,1,      196502801
2023,1965,28,1,3,4,2,2,2,      196502801
2023,1968,51,1,0,3,2,1,1,      196805101
2023,1968,101,1,7,0,2,1,1,      196810101
2023,1968,107,1,8,0,2,1,6,      196810701
2023,1975,82,1,8,0,2,1,1,      197508201
2023,1986,203,1,4,5,2,1,1,      198620301
2023,1990,2,1,2,11,1,1,1,      199000201
2023,1990,2,1,2,11,2,2,2,      199000201
2023,2018,14,1,8,0,2,1,1,      201801401
2023,2024,15,1,1,6,2,1,5,      202401501
2023,2026,66,1,1,5,2,1,1,      202606601
2023,2053,36,1,3,10,2,1,1,      205303601
2023,2056,49,1,3,9,2,1,1,      205604901
2023,2065,32,1,3,10,2,1,6,      206503201
2023,2065,35,1,1,11,2,1,1,      206503501
2023,2065,59,1,8,11,2,1,8,      206505901
2023,2067,78,1,6,6,2,1,1,      206707801
2023,2067,82,1,7,6,2,1,4,      206708201
2023,2072,4,1,8,8,2,1,3,      207200401
2023,2072,73,1,8,8,2,1,1,      207207301
2023,2072,74,1,8,8,2,1,1,      207207401
2023,2072,77,1,4,8,2,1,2,      207207701
2023,2073,2,1,6,9,2,1,1,      207300201
2023,2073,24,1,5,9,2,1,1,      207302401
2023,2078,77,1,98,98,2,1,1,      207807701
2023,2085,93,1,8,10,2,1,1,      208509301
2023,2085,95,1,4,10,2,1,1,      208509501
2023,2100,145,1,0,7,2,1,1,      210014501
2023,2105,29,1,6,0,2,1,1,      210502901
2023,2105,63,1,2,0,2,1,5,      210506301
