ID1,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M,HHID
2023,1,2,80,12,2022, ,      167115901
2023,1,1,73,9,2018, ,      167208301
2023,1,2,64,6,2023, ,      167304701
2023,1,2,98,12,2022, ,      167308901
2023,1,2,84,11,2018, ,      167702201
2023,1,1,56,3,2020, ,      168107701
2023,1,2,89,5,2022, ,      168607901
2023,1,1,56,8,2020, ,      168608001
2023,1,2,87,8,2020, ,      169406101
2023,1,2,72,7,2020, ,      169409201
2023,1,1,54,9,2022, ,      169610701
2023,1,2,103,9,2019, ,      169914601
2023,1,1,79,6,2020, ,      169915301
2023,1,1,74,10,2022, ,      170507801
2023,1,2,86,1,2020, ,      170512901
2023,1,1,39,9,2018, ,      172103901
2023,1,1,63,9,2019, ,      172108801
2023,1,2,82,4,2018, ,      172400501
2023,1,1,89,4,2021, ,      172412601
2023,1,1,0,12,2019, ,      172502001
2023,1,1,75,3,2020, ,      172502201
2023,1,2,85,5,2022, ,      172507201
2023,1,1,9,5,2022, ,      172804201
2023,1,1,68,2,2019, ,      172807901
2023,1,2,86,4,2021, ,      172900601
2023,1,2,62,6,2020, ,      172901101
2023,1,2,54,6,2022, ,      172901801
2023,1,2,82,2,2018, ,      172901901
2023,2,2,58,6,2022, ,      172901901
2023,1,2,85,11,2020, ,      173704201
2023,1,2,65,10,2020, ,      174003201
2023,1,1,67,1,2022, ,      174010101
2023,1,2,73,5,2021, ,      174420301
2023,2,1,83,6,2021, ,      174420301
2023,1,2,48,4,2019,4,      174801901
2023,1,1,61,5,2022, ,      175408501
2023,1,2,3,11,2020, ,      176105901
2023,1,2,75,7,2018, ,      176308401
2023,1,2,82,8,2018, ,      177208401
2023,1,1,48,6,2021, ,      177209401
2023,1,1,72,4,2021, ,      177705101
2023,1,1,53,9,2019, ,      177902301
2023,1,2,9,1,2021, ,      177902801
2023,1,1,27,11,2022, ,      177905001
2023,1,2,86,4,2023, ,      178000101
2023,1,1,83,5,2020, ,      178000501
2023,2,2,81,5,2020, ,      178000501
2023,1,2,92,1,2018, ,      178005201
2023,2,2,20,8,2021,4,      178005201
2023,1,1,51,5,2020, ,      178703401
2023,1,2,67,11,2018, ,      178711301
2023,1,1,81,3,2021, ,      179402601
2023,1,1,72,9,2021, ,      179900801
2023,1,1,72,5,2021, ,      180100701
2023,1,2,0,5,2019, ,      180109501
2023,1,1,56,7,2020, ,      180109901
2023,1,1,92,5,2018, ,      180110501
